% Model,transient_real_pressure.mph,
% Version,COMSOL 6.3.0.290,
% Date,"Mar 20 2025, 17:02",
% Table,探针�?1 - ,
% 时间 (s),"总声�?(Pa), 点探�?1","总声�?(Pa), 点探�?2"
0,6.99E-41,7.32E-14
1.67E-05,9.36E-40,3.18E-08
3.33E-05,-4.45E-39,4.95E-08
5.00E-05,2.11E-38,4.49E-08
6.67E-05,-1.62E-37,1.08E-08
8.33E-05,1.19E-36,-4.28E-08
1.00E-04,-6.07E-36,-7.01E-08
1.17E-04,2.17E-35,-9.50E-09
1.33E-04,-5.47E-35,1.72E-07
1.50E-04,8.48E-35,4.55E-07
1.67E-04,-1.59E-35,7.87E-07
1.83E-04,-3.06E-34,1.13E-06
2.00E-04,8.05E-34,1.47E-06
2.17E-04,-6.62E-34,1.80E-06
2.33E-04,-1.42E-33,2.10E-06
2.50E-04,4.77E-33,2.37E-06
2.67E-04,-3.70E-33,2.64E-06
2.83E-04,-8.28E-33,2.95E-06
3.00E-04,2.27E-32,3.28E-06
3.17E-04,-8.80E-33,3.59E-06
3.33E-04,-4.83E-32,3.89E-06
3.50E-04,8.35E-32,4.18E-06
3.67E-04,2.17E-32,4.43E-06
3.83E-04,-2.33E-31,4.67E-06
4.00E-04,2.04E-31,4.94E-06
4.17E-04,3.54E-31,5.25E-06
4.33E-04,-8.39E-31,5.56E-06
4.50E-04,-3.67E-32,5.83E-06
4.67E-04,1.91E-30,6.05E-06
4.83E-04,-1.66E-30,6.27E-06
5.00E-04,-2.04E-30,6.51E-06
5.17E-04,6.48E-30,6.75E-06
5.33E-04,-7.72E-30,6.97E-06
5.50E-04,-1.97E-29,7.19E-06
5.67E-04,7.38E-29,7.42E-06
5.83E-04,8.06E-29,7.65E-06
6.00E-04,-4.03E-28,7.86E-06
6.17E-04,-4.93E-28,8.04E-06
6.33E-04,1.73E-27,8.20E-06
6.50E-04,3.13E-27,8.35E-06
6.67E-04,-5.74E-27,8.51E-06
6.83E-04,-1.72E-26,8.70E-06
7.00E-04,1.13E-26,8.89E-06
7.17E-04,7.81E-26,9.04E-06
7.33E-04,1.90E-26,9.15E-06
7.50E-04,-2.84E-25,9.24E-06
7.67E-04,-3.21E-25,9.34E-06
7.83E-04,7.50E-25,9.44E-06
8.00E-04,1.86E-24,9.55E-06
8.17E-04,-8.50E-25,9.66E-06
8.33E-04,-7.28E-24,9.76E-06
8.50E-04,-4.53E-24,9.84E-06
8.67E-04,1.97E-23,9.88E-06
8.83E-04,3.60E-23,9.90E-06
9.00E-04,-2.48E-23,9.92E-06
9.17E-04,-1.44E-22,9.95E-06
9.33E-04,-8.45E-23,9.98E-06
9.50E-04,3.57E-22,1.00E-05
9.67E-04,6.83E-22,1.00E-05
9.83E-04,-2.92E-22,1.00E-05
0.001,-2.45E-21,9.99E-06
0.001016667,-2.08E-21,9.95E-06
0.001033333,4.81E-21,9.88E-06
0.00105,1.21E-20,9.81E-06
0.001066667,8.40E-22,9.75E-06
0.001083333,-3.41E-20,9.71E-06
0.0011,-4.50E-20,9.67E-06
0.001116667,4.01E-20,9.59E-06
0.001133333,1.76E-19,9.48E-06
0.00115,1.13E-19,9.35E-06
0.001166667,-3.35E-19,9.20E-06
0.001183333,-7.30E-19,9.05E-06
0.0012,-5.35E-20,8.93E-06
0.001216667,1.84E-18,8.83E-06
0.001233333,2.54E-18,8.70E-06
0.00125,-1.37E-18,8.53E-06
0.001266667,-8.21E-18,8.33E-06
0.001283333,-7.50E-18,8.15E-06
0.0013,1.03E-17,7.97E-06
0.001316667,3.24E-17,7.78E-06
0.001333333,1.83E-17,7.59E-06
0.00135,-5.36E-17,7.38E-06
0.001366667,-1.16E-16,7.16E-06
0.001383333,-2.96E-17,6.92E-06
0.0014,2.34E-16,6.69E-06
0.001416667,3.83E-16,6.46E-06
0.001433333,-2.89E-17,6.23E-06
0.00145,-9.10E-16,5.98E-06
0.001466667,-1.13E-15,5.73E-06
0.001483333,5.24E-16,5.47E-06
0.0015,3.15E-15,5.21E-06
0.001516667,2.95E-15,4.92E-06
0.001533333,-2.84E-15,4.63E-06
0.00155,-9.76E-15,4.34E-06
0.001566667,-6.65E-15,4.07E-06
0.001583333,1.11E-14,3.80E-06
0.0016,2.73E-14,3.51E-06
0.001616667,1.29E-14,3.22E-06
0.001633333,-3.60E-14,2.92E-06
0.00165,-7.04E-14,2.60E-06
0.001666667,-2.22E-14,2.28E-06
0.001683333,1.03E-13,1.97E-06
0.0017,1.75E-13,1.67E-06
0.001716667,3.75E-14,1.38E-06
0.001733333,-2.76E-13,1.08E-06
0.00175,-4.37E-13,7.68E-07
0.001766667,-7.23E-14,4.41E-07
0.001783333,7.23E-13,1.10E-07
0.0018,1.12E-12,-2.13E-07
0.001816667,1.61E-13,-5.21E-07
0.001833333,-1.90E-12,-8.26E-07
0.00185,-2.89E-12,-1.13E-06
0.001866667,-3.56E-13,-1.44E-06
0.001883333,4.92E-12,-1.75E-06
0.0019,7.27E-12,-2.06E-06
0.001916667,7.07E-13,-2.38E-06
0.001933333,-1.22E-11,-2.70E-06
0.00195,-1.72E-11,-3.00E-06
0.001966667,-1.12E-12,-3.30E-06
0.001983333,2.80E-11,-3.58E-06
0.002,3.76E-11,-3.88E-06
0.002016667,1.37E-12,-4.19E-06
0.002033333,-5.91E-11,-4.52E-06
0.00205,-7.51E-11,-4.84E-06
0.002066667,9.70E-13,-5.14E-06
0.002083333,1.18E-10,-5.42E-06
0.0021,1.43E-10,-5.70E-06
0.002116667,-5.68E-12,-6.00E-06
0.002133333,-2.21E-10,-6.30E-06
0.00215,-2.58E-10,-6.60E-06
0.002166667,1.91E-11,-6.90E-06
0.002183333,4.21E-10,-7.20E-06
0.0022,5.24E-10,-7.49E-06
0.002216667,8.03E-11,-7.78E-06
0.002233333,-6.33E-10,-8.06E-06
0.00225,-9.34E-10,-8.31E-06
0.002266667,-3.32E-10,-8.55E-06
0.002283333,9.33E-10,-8.81E-06
0.0023,1.95E-09,-9.07E-06
0.002316667,1.85E-09,-9.33E-06
0.002333333,5.56E-10,-9.57E-06
0.00235,-1.09E-09,-9.80E-06
0.002366667,-1.84E-09,-1.00E-05
0.002383333,-7.71E-10,-1.02E-05
0.0024,2.32E-09,-1.04E-05
0.002416667,6.85E-09,-1.06E-05
0.002433333,1.16E-08,-1.08E-05
0.00245,1.50E-08,-1.09E-05
0.002466667,1.59E-08,-1.11E-05
0.002483333,1.52E-08,-1.12E-05
0.0025,1.64E-08,-1.14E-05
0.002516667,2.42E-08,-1.15E-05
0.002533333,4.25E-08,-1.16E-05
0.00255,7.12E-08,-1.17E-05
0.002566667,1.07E-07,-1.17E-05
0.002583333,1.48E-07,-1.18E-05
0.0026,1.94E-07,-1.18E-05
0.002616667,2.54E-07,-1.19E-05
0.002633333,3.33E-07,-1.19E-05
0.00265,4.32E-07,-1.19E-05
0.002666667,5.40E-07,-1.18E-05
0.002683333,6.46E-07,-1.18E-05
0.0027,7.41E-07,-1.17E-05
0.002716667,8.23E-07,-1.16E-05
0.002733333,8.99E-07,-1.15E-05
0.00275,9.79E-07,-1.14E-05
0.002766667,1.07E-06,-1.12E-05
0.002783333,1.16E-06,-1.11E-05
0.0028,1.26E-06,-1.09E-05
0.002816667,1.36E-06,-1.07E-05
0.002833333,1.46E-06,-1.05E-05
0.00285,1.55E-06,-1.02E-05
0.002866667,1.63E-06,-9.92E-06
0.002883333,1.70E-06,-9.63E-06
0.0029,1.77E-06,-9.37E-06
0.002916667,1.84E-06,-9.13E-06
0.002933333,1.91E-06,-8.87E-06
0.00295,2.00E-06,-8.59E-06
0.002966667,2.09E-06,-8.31E-06
0.002983333,2.17E-06,-8.02E-06
0.003,2.24E-06,-7.76E-06
0.003016667,2.30E-06,-7.49E-06
0.003033333,2.35E-06,-7.23E-06
0.00305,2.39E-06,-6.97E-06
0.003066667,2.43E-06,-6.73E-06
0.003083333,2.47E-06,-6.48E-06
0.0031,2.52E-06,-6.24E-06
0.003116667,2.58E-06,-5.98E-06
0.003133333,2.64E-06,-5.72E-06
0.00315,2.69E-06,-5.46E-06
0.003166667,2.72E-06,-5.21E-06
0.003183333,2.75E-06,-4.96E-06
0.0032,2.77E-06,-4.70E-06
0.003216667,2.79E-06,-4.41E-06
0.003233333,2.81E-06,-4.10E-06
0.00325,2.82E-06,-3.77E-06
0.003266667,2.84E-06,-3.43E-06
0.003283333,2.85E-06,-3.09E-06
0.0033,2.87E-06,-2.75E-06
0.003316667,2.89E-06,-2.41E-06
0.003333333,2.91E-06,-2.05E-06
0.00335,2.92E-06,-1.67E-06
