% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 17:52"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,2.329653889097289E-41,2.4391745127108784E-14
1.6666666666666667E-5,2.7147529788425135E-40,1.059907157817327E-8
3.3333333333333335E-5,-1.3471383311169008E-39,1.6525166344285228E-8
5.0E-5,6.919755736323906E-39,1.4987490607010814E-8
6.666666666666667E-5,-5.474176032165662E-38,3.657531165912776E-9
8.333333333333334E-5,3.973909830942537E-37,-1.416267043206385E-8
1.0000000000000002E-4,-2.010715004387432E-36,-2.3243046848612905E-8
1.1666666666666669E-4,7.21229917029771E-36,-3.0227047388333266E-9
1.3333333333333337E-4,-1.8195607061238595E-35,5.742853718152082E-8
1.5000000000000004E-4,2.8354295774967537E-35,1.5179187686081223E-7
1.6666666666666672E-4,-5.7014454630421674E-36,2.628124509643981E-7
1.833333333333334E-4,-1.014079151223129E-34,3.7691955179406594E-7
2.0000000000000006E-4,2.6869056642749154E-34,4.906538001918852E-7
2.1666666666666674E-4,-2.2417963100765483E-34,6.015162084679655E-7
2.333333333333334E-4,-4.691775679267488E-34,7.029403158379544E-7
2.5000000000000006E-4,1.5954725576966487E-33,7.954988298971123E-7
2.6666666666666673E-4,-1.2569523894458584E-33,8.911682394256005E-7
2.833333333333334E-4,-2.7510963425024E-33,9.978700822884733E-7
3.000000000000001E-4,7.613576969304266E-33,1.110227643416018E-6
3.1666666666666676E-4,-3.010639225629418E-33,1.2205918003282836E-6
3.3333333333333343E-4,-1.618434648037278E-32,1.327570431460278E-6
3.500000000000001E-4,2.8060416134855407E-32,1.4299459062160365E-6
3.666666666666668E-4,7.282466046482703E-33,1.5244497871593547E-6
3.8333333333333345E-4,-7.82433997986193E-32,1.6152658223144088E-6
4.0000000000000013E-4,6.782962087788615E-32,1.7154550191765317E-6
4.166666666666668E-4,1.183460375944537E-31,1.8308404325702861E-6
4.333333333333335E-4,-2.7816981308806564E-31,1.9493378263688933E-6
4.5000000000000015E-4,-1.0710635025911898E-32,2.0550170881872578E-6
4.666666666666668E-4,6.264616237611401E-31,2.147940028090448E-6
4.833333333333335E-4,-5.622513114228416E-31,2.2411602003215895E-6
5.000000000000001E-4,-6.283277639988154E-31,2.3417650825973708E-6
5.166666666666668E-4,2.2072902048119425E-30,2.444737000972722E-6
5.333333333333335E-4,-2.7869112184972428E-30,2.54485820136895E-6
5.500000000000001E-4,-6.795478368918638E-30,2.6452440852582885E-6
5.666666666666668E-4,2.53606348733317E-29,2.7506499177817908E-6
5.833333333333335E-4,2.7869575612560894E-29,2.8586733350246887E-6
6.000000000000002E-4,-1.366729036440073E-28,2.9625719189469636E-6
6.166666666666668E-4,-1.6835648283539173E-28,3.059096012445483E-6
6.333333333333335E-4,5.83731633562125E-28,3.150113869587013E-6
6.500000000000002E-4,1.059637235714356E-27,3.240884502546296E-6
6.666666666666669E-4,-1.9310570581656345E-27,3.3386721834912396E-6
6.833333333333335E-4,-5.790630343553185E-27,3.446544362810671E-6
7.000000000000002E-4,3.807076755380235E-27,3.556796772311937E-6
7.166666666666669E-4,2.623896401201424E-26,3.6575641890833742E-6
7.333333333333336E-4,6.2592609078433665E-27,3.7468516427315068E-6
7.500000000000002E-4,-9.532990054100363E-26,3.833452237687814E-6
7.666666666666669E-4,-1.0705571094039853E-25,3.924834698177424E-6
7.833333333333336E-4,2.5256932632507356E-25,4.021332130153182E-6
8.000000000000003E-4,6.21396620390602E-25,4.1213658067585365E-6
8.166666666666669E-4,-2.91041092233133E-25,4.224356396553112E-6
8.333333333333336E-4,-2.4407853139265257E-24,4.326920886405646E-6
8.500000000000003E-4,-1.4949449300786684E-24,4.4228190594963825E-6
8.66666666666667E-4,6.624183803350653E-24,4.510085802224118E-6
8.833333333333336E-4,1.2025707107267284E-23,4.594224583400875E-6
9.000000000000003E-4,-8.473702505771363E-24,4.681790002649865E-6
9.16666666666667E-4,-4.82390228317353E-23,4.774182523791796E-6
9.333333333333336E-4,-2.7809556854458016E-23,4.869236806738932E-6
9.500000000000003E-4,1.2017480487263623E-22,4.965005693858098E-6
9.66666666666667E-4,2.2802066840095096E-22,5.060273791385533E-6
9.833333333333337E-4,-1.0119478685101347E-22,5.153954065540954E-6
0.0010000000000000002,-8.214827547860548E-22,5.24459302901668E-6
0.0010166666666666668,-6.893304613036072E-22,5.329761174238132E-6
0.0010333333333333334,1.628617077308277E-21,5.40872830427503E-6
0.00105,4.056474907128291E-21,5.487231463641669E-6
0.0010666666666666665,2.275683166722237E-22,5.574540393912145E-6
0.001083333333333333,-1.1510902642302498E-20,5.6722547200804435E-6
0.0010999999999999996,-1.502960206979294E-20,5.770845370814385E-6
0.0011166666666666662,1.3760578291834243E-20,5.860790005636078E-6
0.0011333333333333328,5.934307521596575E-20,5.941535209692844E-6
0.0011499999999999993,3.717288049954922E-20,6.016762125719505E-6
0.001166666666666666,-1.140874282871458E-19,6.0893806902873175E-6
0.0011833333333333325,-2.4567678599598928E-19,6.165330936410355E-6
0.001199999999999999,-1.4080630653516904E-20,6.2519512451356105E-6
0.0012166666666666656,6.241857768122677E-19,6.346364328095913E-6
0.0012333333333333322,8.503049863389521E-19,6.435061054885941E-6
0.0012499999999999987,-4.7886460768161E-19,6.510932971634643E-6
0.0012666666666666653,-2.7837564004570076E-18,6.581788698554752E-6
0.0012833333333333319,-2.5020059731121275E-18,6.657398464587416E-6
0.0012999999999999984,3.5687464151189716E-18,6.737455548499375E-6
0.001316666666666665,1.0957027588032089E-17,6.816976420725649E-6
0.0013333333333333316,6.04622907799095E-18,6.894687339764851E-6
0.0013499999999999981,-1.8395584707676218E-17,6.9706876934527765E-6
0.0013666666666666647,-3.9382444104720805E-17,7.0430858181390315E-6
0.0013833333333333313,-9.316082684494072E-18,7.112564389177302E-6
0.0013999999999999978,8.03667213303263E-17,7.184515330491033E-6
0.0014166666666666644,1.2949465541369713E-16,7.261209410646338E-6
0.001433333333333331,-1.258505706061551E-17,7.337169778434637E-6
0.0014499999999999975,-3.115645840971247E-16,7.407836458400019E-6
0.001466666666666664,-3.825413753875714E-16,7.476854844702531E-6
0.0014833333333333306,1.8836207525214636E-16,7.548193516017277E-6
0.0014999999999999972,1.0787887037642935E-15,7.617567605615633E-6
0.0015166666666666638,9.914938723188937E-16,7.679920437262558E-6
0.0015333333333333303,-1.000855017881213E-15,7.73963853840647E-6
0.001549999999999997,-3.3383466377837143E-15,7.804574064021613E-6
0.0015666666666666635,-2.210562782575681E-15,7.874506213485536E-6
0.00158333333333333,3.8992696793229215E-15,7.943455971279092E-6
0.0015999999999999966,9.318256942420544E-15,8.009185868793185E-6
0.0016166666666666632,4.206921667885709E-15,8.072887278554152E-6
0.0016333333333333297,-1.2597687445147331E-14,8.133201369407509E-6
0.0016499999999999963,-2.4040886105163734E-14,8.188215411339853E-6
0.0016666666666666629,-6.99638182127719E-15,8.241357894142703E-6
0.0016833333333333294,3.59913269504629E-14,8.298722145134243E-6
0.001699999999999996,5.97171472363555E-14,8.361372623378374E-6
0.0017166666666666626,1.124418948713795E-14,8.424901480776196E-6
0.0017333333333333291,-9.618853184632601E-14,8.4850537667868E-6
0.0017499999999999957,-1.492084590777994E-13,8.54002552857645E-6
0.0017666666666666623,-2.0651707575540163E-14,8.589800272664585E-6
0.0017833333333333288,2.525160456304095E-13,8.637135217225734E-6
0.0017999999999999954,3.828019480840358E-13,8.686642242527592E-6
0.001816666666666662,4.474201214468959E-14,8.739726388493062E-6
0.0018333333333333285,-6.639919945558348E-13,8.793088439350585E-6
0.001849999999999995,-9.899821874530402E-13,8.843998644096874E-6
0.0018666666666666617,-9.462703242259202E-14,8.893312900308473E-6
0.0018833333333333282,1.7234621999137758E-12,8.941757013556744E-6
0.0018999999999999948,2.4912214619921054E-12,8.987423454851798E-6
0.0019166666666666614,1.7157837398994008E-13,9.029035122131916E-6
0.001933333333333328,-4.2619112702541125E-12,9.068745388806925E-6
0.0019499999999999945,-5.887907999984921E-12,9.110042560676862E-6
0.0019666666666666613,-2.067029911888293E-13,9.154171442280732E-6
0.001983333333333328,9.835877115513292E-12,9.198571652923178E-6
0.0019999999999999944,1.2899316387500963E-11,9.237973339529052E-6
0.002016666666666661,4.590994438965751E-14,9.268578571463991E-6
0.0020333333333333275,-2.0854278778560935E-11,9.292611955928904E-6
0.002049999999999994,-2.582425786800618E-11,9.316984314517379E-6
0.0020666666666666607,1.2649377195125195E-12,9.345979095961656E-6
0.0020833333333333272,4.1952883231111954E-11,9.376976930392912E-6
0.002099999999999994,4.9390405525484015E-11,9.40442566822844E-6
0.0021166666666666604,-3.69909235690314E-12,9.425782580843146E-6
0.002133333333333327,-7.899144215576242E-11,9.442166531703212E-6
0.0021499999999999935,-9.026128725576155E-11,9.455283347370257E-6
0.00216666666666666,9.298315194701098E-12,9.46567249405969E-6
0.0021833333333333266,1.5113316440245882E-10,9.47312926409195E-6
0.002199999999999993,1.8548164661641235E-10,9.477754884378181E-6
0.0022166666666666598,2.5799864708650936E-11,9.481092701402091E-6
0.0022333333333333263,-2.277887314986832E-10,9.486058647382376E-6
0.002249999999999993,-3.330570705168761E-10,9.493935886195771E-6
0.0022666666666666595,-1.1615878620350387E-10,9.501294764416574E-6
0.002283333333333326,3.3534552747434263E-10,9.502563495860497E-6
0.0022999999999999926,6.972548157943136E-10,9.496515085258849E-6
0.002316666666666659,6.600272477420175E-10,9.487385363391121E-6
0.0023333333333333257,1.957676823524994E-10,9.478849613455915E-6
0.0023499999999999923,-3.9030486311134643E-10,9.470645724231803E-6
0.002366666666666659,-6.530407603149373E-10,9.462126384830658E-6
0.0023833333333333254,-2.6577212232561637E-10,9.454381937078474E-6
0.002399999999999992,8.373819573838822E-10,9.446973603716703E-6
0.0024166666666666585,2.450853674367389E-9,9.437327229873877E-6
0.002433333333333325,4.138914378228822E-9,9.425406508230098E-6
